CNTYVTD,CruzR_18G_U.S. Sen,O'RourkeD_18G_U.S. Sen,DikemanL_18G_U.S. Sen
"0293077",832,804,12
"0293078",916,864,26
"0293079",1082,982,7
"0293080",367,338,5
"0293081",653,717,10
"0293082",647,732,13
"0293083",524,437,14
"0293084",901,897,27
"0293085",368,402,9
"0293086",619,562,8
"0293087",528,403,8
"0293088",1091,871,10
"0293089",1911,886,27
"0293090",971,853,16
"0293091",447,194,8
"0293092",1238,633,16
"0293093",1586,1193,26
"0293094",1198,867,6
"0293095",399,923,15
"0293096A",1180,917,20
"0293096B",0,0,0
"0293097",3,1,0
"0293098",400,400,11
"0293099",995,986,19
"0293100",767,940,9
"0293101",789,777,16
"0293102",1086,889,22
"0293103",134,221,3
"0293104",924,762,15
"0293105",889,859,21
"0293106",684,405,8
"0293107",277,594,11
"0293108",599,400,7
"0293109",579,941,14
"0293110",791,919,13
"0293111",0,2,0
"0293112",240,532,9
"0293113",158,367,4
"0293114",1012,533,11
"0293115",735,587,7
"0293116",372,544,13
"0293117",1086,915,13
"0293118",279,306,4
"0293119",944,1194,24
"0293120",803,1013,21
"0293121",1274,1194,18
"0293122",692,662,14
"0293123",196,130,2
"0293124",978,846,7
"0293125A",1162,853,16
"0293125B",2,1,0
"0293126",605,448,5
"0293127",789,1149,16
"0293128",20,21,1
"0293129",699,1100,25
"0293130",763,466,11
"0293131",0,3,0
"0293132",224,442,4
"0293133",0,0,0
"0293134",369,1139,10
"0293135",206,327,3
"0293136",144,170,3
"0293137",1296,1158,24
"0293138",28,9,0
"0293139",292,490,11
"0293140",82,155,3
"0293141",284,461,7
"0293142",58,116,1
"0293143",386,506,5
"0293144",62,81,0
"0293145",936,889,13
"0293146",702,1165,19
"0293147",616,863,14
"0293148",433,314,2
"0293149",210,1406,8
"0293150",8,8,0
"0293151",1444,1443,17
"0293152",240,548,14
"0293153",449,470,10
"0293154",666,437,10
"0293155",796,647,19
"0293156",9,8,0
"0293157",867,844,19
"0293158A",18,13,0
"0293158B",6,3,0
"0293159",396,624,10
"0293160",486,420,7
"0293161",517,814,9
"0293162",265,410,7
"0293163",855,705,11
"0293164",727,461,9
"0293165",1179,1012,21
"0293166",128,187,4
"0293167",4,2,0
"0293168",194,290,5
"0293169",48,30,2
"0293170",0,0,0
"0293171",0,1,0
"0293172",102,182,2
"0293173",1057,976,16
"0293174",1586,1083,25
"0293175",182,212,3
"0293176",19,19,0
"0293178",0,0,0
"0293179",1,1,0
"0293180",285,380,5
"0293181",766,520,20
"0293182",247,269,4
"0293183",9,2,0
"0293184",58,47,1
"0293185A",68,63,0
"0293185B",16,15,0
"0293186",1,0,0
"0293187",0,0,0
"0293188A",0,0,0
"0293188B",0,0,0
"0293189",262,360,0
"0293190",0,0,0
"0293191",71,57,1
"0293193",65,58,1
"0293194",1282,814,18
"0293195",228,916,6
"0293196",6,3,0
"0293198",196,208,2
"0293199",1022,782,11
"0293201",1482,894,18
"0293202",325,260,1
"0293203",185,118,3
"0293204",0,0,0
"0293205",0,0,0
"0293206",5,56,1
"0293207",1,3,0
"0293208",11,30,1
"0294001",377,980,10
"0294002",47,270,1
"0294003",56,361,7
"0294004",99,316,1
"0294005",104,662,7
"0294006",37,246,4
"0294007",173,196,6
"0294008",171,263,4
"0294009",49,254,2
"0294010",32,336,4
"0294011",39,412,1
"0294012",43,210,3
"0294013",88,294,5
"0294014",26,133,3
"0294015",130,664,12
"0294016",210,835,12
"0294017",179,950,8
"0294018",147,528,12
"0294019",253,724,14
"0294020",179,373,5
"0294021",202,322,7
"0294022",27,29,1
"0294023",392,689,14
"0294024",377,815,13
"0294025",144,359,6
"0294026",331,1016,11
"0294027",191,532,10
"0294028",235,884,11
"0294029",108,707,4
"0294030",11,118,1
"0294031",169,520,4
"0294032",253,539,5
"0294033",458,934,12
"0294034",247,518,7
"0294035",5,15,0
"0294036",188,956,12
"0294037",59,514,4
"0294038",622,1148,21
"0294039",35,448,0
"0294040",68,414,4
