CNTYVTD,CruzR_18G_U.S. Sen,O'RourkeD_18G_U.S. Sen,DikemanL_18G_U.S. Sen
"2010527A",68,102,1
"2010527B",0,0,0
"2010528",2,26,0
"2010529",1767,409,22
"2010530",77,409,1
"2010531",964,344,3
"2010532",332,205,1
"2010533",189,214,1
"2010534",1425,714,10
"2010535",44,111,0
"2010536",847,1888,6
"2010537",1527,716,11
"2010538",12,415,0
"2010539",380,475,4
"2010540",369,1149,13
"2010541",327,2251,14
"2010542",81,1240,3
"2010543",175,599,6
"2010544",11,96,2
"2010545",1035,1381,17
"2010546",1289,382,11
"2010547",890,546,15
"2010548",446,708,11
"2010549",136,1099,6
"2010550",481,832,12
"2010551",2162,1054,13
"2010552",1935,669,20
"2010553",420,884,13
"2010554",144,577,7
"2010555",128,661,9
"2010556",205,763,5
"2010557",350,837,7
"2010558",608,1620,18
"2010559",434,1830,17
"2010560",81,356,2
"2010561",811,575,11
"2010562",36,235,1
"2010563",1541,679,12
"2010564",318,1594,25
"2010565",70,299,3
"2010566",308,1075,13
"2010567",296,864,6
"2010568",1276,1067,22
"2010569",971,1639,23
"2010570",211,749,8
"2010571",181,479,4
"2010572",607,1160,18
"2010573",10,594,3
"2010574",20,118,1
"2010575",1030,1115,16
"2010576",72,1163,7
"2010577",590,593,8
"2010578",708,675,15
"2010579",66,351,3
"2010580",18,358,2
"2010581",15,448,2
"2010582",42,555,3
"2010583",23,442,1
"2010584",32,355,3
"2010585",54,760,6
"2010586",1074,1011,17
"2010587",394,1050,7
"2010588",1354,924,10
"2010589",728,1115,17
"2010590",1030,455,15
"2010591",198,691,7
"2010592",134,545,3
"2010593",818,1353,14
"2010594",327,1058,5
"2010595",93,627,2
"2010596",606,912,12
"2010597",495,1034,8
"2010598",762,1935,14
"2010599",467,1156,11
"2010600",616,1482,10
"2010601",1737,932,18
"2010602",535,321,5
"2010603",1314,1351,19
"2010604",1617,354,13
"2010605",404,1540,12
"2010606",9,332,1
"2010607",24,211,1
"2010608",54,127,1
"2010609",1287,1200,21
"2010610",335,672,5
"2010611",44,925,6
"2010612",1512,691,19
"2010613",180,968,6
"2010614",584,1614,15
"2010615",564,686,4
"2010616",1294,966,30
"2010617",558,1497,9
"2010618",678,1252,14
"2010619",2031,1155,33
"2010620",868,1030,12
"2010621",229,431,3
"2010622",1200,1328,32
"2010623",1153,963,10
"2010624",310,126,2
"2010625",550,640,12
"2010626",1236,1508,22
"2010627",342,1019,9
"2010628",349,772,7
"2010629",20,165,0
"2010630",211,2852,16
"2010631",1018,674,20
"2010632",1,2,0
"2010633",1605,1022,20
"2010634",821,803,3
"2010635",1305,600,16
"2010636",2553,359,23
"2010637",296,1067,9
"2010638",74,854,6
"2010639",1036,389,12
"2010640",952,1050,12
"2010641",1091,932,14
"2010642",858,340,2
"2010643",859,1311,10
"2010644",1243,1245,17
"2010645",824,1772,21
"2010646",297,833,8
"2010647",458,1171,8
"2010648",1313,799,15
"2010649",509,1579,17
"2010650",1565,1024,20
"2010651",949,1140,15
"2010652",229,1314,7
"2010653",44,189,1
"2010654",1360,1567,17
"2010655",1096,1285,13
"2010656",67,1125,2
"2010657",241,549,8
"2010658",865,699,15
"2010659",2057,1099,11
"2010660",158,1573,3
"2010661",1038,1396,14
"2010662",1909,618,17
"2010663",652,964,24
"2010664",209,919,3
"2010665",1157,364,9
"2010666",0,0,0
"2010667",904,471,9
"2010668",1120,1032,17
"2010669",1385,874,13
"2010670",1572,609,14
"2010671",805,928,18
"2010672",1131,728,17
"2010673",1352,411,16
"2010674",1777,914,16
"2010675",0,1,0
"2010676",439,907,18
"2010677",126,459,3
"2010678",102,1124,1
"2010679",1269,743,12
"2010680",32,84,1
"2010681",17,45,1
"2010682",1628,747,17
"2010683",24,107,0
"2010684",1061,944,12
"2010685",52,54,2
"2010686",16,62,0
"2010687",1046,742,14
"2010688",1933,758,21
"2010689",468,819,9
"2010690",1592,708,15
"2010691",1776,696,10
"2010692",1107,580,12
"2010693",78,303,3
"2010694",381,779,11
"2010695",416,344,10
"2010696",512,390,14
"2010697",368,1189,4
"2010698",156,1342,7
"2010699",842,683,9
"2010700",678,150,2
"2010701",85,170,3
"2010702",22,180,1
"2010703",825,432,15
"2010704",1478,426,8
"2010705",38,297,7
"2010706",496,946,10
"2010707",230,218,7
"2010708",59,142,0
"2010709",1109,1374,20
"2010710",599,870,10
"2010711",1034,1439,10
"2010712",614,1471,10
"2010713",411,619,7
"2010714",42,80,0
"2010715",277,424,3
"2010716",885,447,8
"2010717",117,910,7
"2010718",1743,1316,20
"2010719",330,368,4
"2010720",1648,1111,31
"2010721",1015,809,20
"2010722",142,1993,10
"2010723",175,820,5
"2010724",334,256,5
"2010725",403,652,9
"2010726",1198,212,8
"2010727",275,893,11
"2010728",262,266,6
"2010729",124,141,0
"2010730",851,753,14
"2010731A",562,989,7
"2010731B",273,483,4
"2010732",603,549,19
"2010733",21,67,1
"2010734",1645,1101,23
"2010735",134,134,3
"2010736",1,12,0
"2010737",15,11,0
"2010738",94,398,1
"2010739",455,652,10
"2010740",170,166,1
"2010741",238,796,1
"2010742",1045,834,10
"2010743",23,51,1
"2010744",657,643,13
"2010745",801,701,22
"2010746",129,208,8
"2010747",755,1400,16
"2010748",269,390,11
"2010749",24,100,0
"2010750",175,172,2
"2010751",1968,1688,26
"2010752",457,290,6
"2010753",95,174,1
"2010754",23,389,2
"2010755",782,1647,19
"2010756",249,591,7
"2010757",300,1934,11
"2010758",1844,783,19
"2010759",793,794,14
"2010760A",0,0,0
"2010760B",1032,340,14
"2010761",744,452,6
"2010762",574,829,8
"2010763",129,418,4
"2010764A",570,535,9
"2010764B",843,793,8
"2010765",646,1794,14
"2010766",33,146,2
"2010767",15,25,0
"2010768",1145,497,18
"2010769",9,64,1
"2010770",40,80,0
"2010771",224,385,7
"2010772",1961,1088,17
"2010773",569,1496,10
"2010774",32,130,1
"2010775",6,29,0
"2010776",865,827,9
"2010777",58,156,1
"2010778",0,0,0
"2010779",66,251,2
"2010780",79,162,0
"2010781",486,1073,12
"2010782",693,581,15
"2010783",17,273,1
"2010784",14,415,1
"2010785",860,1127,11
"2010786",118,367,6
"2010787",54,174,4
"2010788",2,1,0
"2010789",833,778,12
"2010790",400,985,9
"2010791",2,10,0
"2010792",192,666,4
"2010793",551,586,6
"2010794A",58,591,7
"2010794B",0,0,0
"2010795",133,400,3
"2010796",545,1050,14
"2010797",0,0,0
"2010798",112,230,2
"2010799",10,66,0
"2010800",1225,1044,18
"2010801",40,89,0
"2010802",5,13,0
"2010803",1780,1100,20
"2010804",1488,1829,13
"2010805",1336,520,22
"2010806",770,591,8
"2010807",130,756,4
"2010808",39,219,4
"2010809",18,9,0
"2010810",10,47,1
"2010811",26,114,0
"2010812",0,0,0
"2010813",722,1326,15
"2010814",400,1878,13
"2010815",0,0,0
"2010816",5,16,1
"2010817",1969,1090,21
"2010818",52,205,0
"2010819",44,52,0
"2010820",0,0,0
"2010821",54,337,0
"2010822",31,585,0
"2010823",713,830,11
"2010824",226,1024,15
"2010825",4,7,0
"2010826",94,158,1
"2010827",98,250,0
"2010828",938,377,5
"2010829",19,47,1
"2010830",0,0,0
"2010831",3,7,0
"2010832",27,114,0
"2010833",1,5,0
"2010834",18,121,0
"2010835",27,85,0
"2010836",10,124,3
"2010837",0,3,0
"2010838",0,0,0
"2010839",79,405,3
"2010840",289,614,8
"2010841",365,1339,9
"2010842",531,1036,10
"2010843",118,645,4
"2010844",0,5,0
"2010845",86,50,2
"2010846",8,70,0
"2010847",230,932,11
"2010848",281,808,7
"2010849",284,823,4
"2010850",43,90,0
"2010851",1352,889,15
"2010852",0,0,0
"2010853",1303,604,14
"2010854",7,59,0
"2010855",4,1,0
"2010856",0,0,0
"2010857",0,0,0
"2010858",5,133,0
"2010859",91,368,1
"2010860",0,0,0
"2010861",132,781,4
"2010862A",1038,896,12
"2010862B",65,57,1
"2010862C",90,78,1
"2010862D",0,0,0
"2010863",15,176,0
"2010864",207,805,9
"2010865",0,7,0
"2010866",0,0,0
"2010867",0,0,0
"2010868",241,759,7
"2010869",30,136,1
"2010870",0,0,0
"2010871",1,3,0
"2010872",6,7,0
"2010873",84,284,1
"2010874",1386,710,12
"2010875",923,1341,19
"2010876",1567,960,17
"2010877",702,1550,16
"2010878",606,255,7
"2010879",505,875,13
"2010880",1109,613,8
"2010881",740,2639,13
"2010882",600,1762,13
"2010883",318,2237,5
"2010884",23,143,0
"2010885",856,861,12
"2010886",196,322,4
"2010887",101,214,2
"2010888",306,759,9
"2010889",29,125,2
"2010890",240,579,4
"2010891",290,570,4
"2010892",131,520,10
"2010893",0,0,0
"2010894",123,918,4
"2010895",197,451,1
"2010896",327,922,5
"2010897",462,640,8
"2010898",314,694,16
"2010899",434,413,1
"2010900",1,6,0
"2010901",0,0,0
"2010902",754,1109,15
"2010903",1175,499,7
"2010904",0,0,0
"2010905",145,277,2
"2010906",11,10,0
"2010907",2,66,1
"2010908",0,2,0
"2010909",0,9,0
"2010910",21,56,0
"2010911",171,130,3
"2010912",447,347,5
"2010913",25,112,0
"2010914",6,27,0
"2010915",0,0,0
"2010916",1323,553,21
"2010917",4,21,0
"2010918",1,1,0
"2010919",0,0,0
"2010920",25,23,1
"2010921",4,23,0
"2010922",0,0,0
"2010923",1674,790,12
"2010924",0,0,0
"2010925",0,0,0
"2010926",425,253,5
"2010927",511,727,14
"2010928",0,3,0
"2010929",0,0,0
"2010930",12,166,2
"2010931",30,54,0
"2010932",0,0,0
"2010933",80,307,4
"2010934",3,5,0
"2010935",6,10,0
"2010936",7,15,0
"2010937",0,0,0
"2010938",23,78,1
"2010939",0,1,0
"2010940",1,9,0
"2010941",146,229,5
"2010942",71,48,1
"2010943",56,148,1
"2010944",0,1,0
"2010945",1,8,0
"2010946",2,4,0
"2010947",226,376,10
"2010948",0,0,0
"2010949",63,75,1
"2010950A",0,0,0
"2010950B",0,0,0
"2010951",24,120,0
"2010952",24,27,0
"2010953",0,2,0
"2010954",0,0,0
"2010955",2644,1671,28
"2010956",0,0,0
"2010957",31,268,1
"2010958",82,450,3
"2010959",0,0,0
"2010960",157,810,3
"2010961",136,808,3
"2010962",7,39,0
"2010963",116,214,4
"2010964",1328,1320,15
"2010965",84,27,0
"2010966",108,365,3
"2010967",12,62,3
"2010968",115,599,1
"2010969",7,316,0
"2010970",24,207,0
"2010971",0,0,0
"2010972",0,0,0
"2010973",352,315,10
"2010974",0,0,0
"2010975",54,67,1
"2010976",120,151,5
"2010977",82,157,0
"2010978",0,0,0
"2010979",0,0,0
"2010980",598,340,10
"2010981",0,14,0
"2010982",1968,952,29
"2010983",37,70,1
"2010984",9,88,0
"2010985",89,129,1
"2010986",23,140,0
"2010987",40,483,2
"2010988",55,10,0
"2010989",0,0,0
"2010990",5,5,0
"2010991",0,0,0
"2010992",218,312,5
"2010993",0,0,0
"2010994",20,74,0
"2010995",75,857,4
"2010996",203,203,3
"2010997",62,518,5
"2010998",19,15,1
"2010999",0,0,0
"2011000",20,123,0
"2011001",140,535,0
"2011002",84,473,5
"2011003",0,0,0
"2011004",172,276,10
"2011005",0,0,0
"2011006",0,0,0
"2011007",175,742,5
"2011008",507,158,4
"2011009",0,0,0
"2011010",62,407,3
"2011011",8,8,0
"2011012",189,567,2
"2030001",830,393,8
"2030002",275,522,2
"2030003",62,758,5
"2030004",522,334,5
"2030005",426,106,2
"2030006",620,145,7
"2030007",393,160,2
"2030008",1127,427,4
"2030009",529,249,4
"2030010",477,131,4
"2030011",179,97,2
"2030012",2234,396,20
"2030013",756,95,8
"2030014",616,162,4
"2030015",567,70,1
"2030016",280,57,3
"2030017",411,398,2
"2030018",397,81,0
"2030019",1410,345,11
"2030020",988,277,3
"2030021",276,126,2
"2030022",338,474,9
"2030023",301,15,1
"2030024",263,59,1
"2030025",1696,312,12
"2030026",253,56,0
"2050101",159,19,0
"2050102",100,5,0
"2050201",135,12,0
"2050202",279,25,0
"2050301",437,45,0
"2050401",341,45,4
"2070001",173,37,0
"2070002",263,62,1
"2070003",219,61,6
"2070004",108,29,0
"2070005",150,40,2
"2070006",151,18,0
"2070007",46,6,0
"2070008",60,17,0
"2070009",107,21,1
"2070010",83,11,0
"2090110",442,616,7
"2090111",52,147,5
"2090112",227,891,11
"2090113",490,1773,20
"2090120",472,2372,19
"2090125",457,940,15
"2090127",1157,1777,26
"2090129",850,1797,33
"2090221",1146,1599,31
"2090223",476,806,17
"2090224",2089,2375,53
"2090225",604,431,6
"2090226",918,954,26
"2090228",1548,3086,48
"2090229",236,569,15
"2090230",443,431,8
"2090232",784,519,15
"2090234",182,308,2
"2090236",487,345,11
"2090238",13,17,0
"2090301",0,0,0
"2090315",1207,995,22
"2090316",363,501,14
"2090317",53,208,3
"2090318",18,49,1
"2090330",233,780,13
"2090332",576,1686,33
"2090333",1567,1301,26
"2090334",304,1635,9
"2090335",1298,993,27
"2090336",847,1808,39
"2090337",1991,1512,33
"2090339",524,275,6
"2090413",91,550,3
"2090414",127,675,8
"2090415",204,1077,6
"2090416",16,31,1
"2090417",483,575,15
"2090418",2,0,0
"2090419",505,586,8
"2090420",280,266,7
"2090421A",15,10,0
"2090421B",6,4,0
"2090440",826,589,19
"2090441A",1188,830,34
"2090441B",2,2,0
"2090442",868,1063,18
"2090443",1992,1841,50
"2090444",2326,1892,50
"2090447",610,749,12
"2090449",1503,1054,27
"2110101",230,41,1
"2110201",243,39,3
"2110202",19,0,0
"2110301",355,36,3
"2110302",30,1,0
"2110303",68,9,1
"2110401",195,17,1
"2110402",69,14,0
"2130002",283,76,3
"2130003",170,366,4
"2130004",1360,451,21
"213001A",679,152,6
"213001M",719,271,8
"213001T",668,197,3
"213002E",928,175,18
"213003B",1243,208,13
"213003C",1974,406,11
"213003M",626,123,5
"213003N",835,154,4
"213004A",220,134,5
"213004W",484,96,7
"21301CR",1185,203,11
"21301MN",533,162,7
"21301TC",1081,279,17
"21303WS",633,118,8
"21304BV",380,82,7
"21304CC",684,208,4
"21304MS",116,137,5
"21304PF",234,42,4
"21304SE",1491,351,8
"2132GBN",1235,342,5
"2132GBS",787,191,7
"2132PSN",1211,304,10
"2132PSS",637,125,4
"2134NYL",495,62,0
"2150001",45,194,1
"2150002",287,466,5
"2150003",97,336,4
"2150004",454,1339,9
"2150005",132,644,5
"2150006",368,488,5
"2150007",529,880,13
"2150008",368,428,2
"2150009",534,868,10
"2150010",237,641,5
"2150011",154,786,4
"2150012",45,90,1
"2150013",606,1146,14
"2150014",165,442,1
"2150015",85,146,1
"2150016",182,1134,3
"2150017",199,662,5
"2150018",30,63,5
"2150019",49,56,1
"2150020",61,313,5
"2150021",45,111,0
"2150022",58,200,4
"2150023",210,606,6
"2150024",45,19,0
"2150025",398,668,6
"2150026",63,253,2
"2150027",67,252,2
"2150028",263,617,5
"2150029",146,200,1
"2150030",452,1148,13
"2150031",240,424,2
"2150032",285,689,2
"2150033",185,570,6
"2150034",118,292,2
"2150035",308,956,8
"2150036",350,1066,6
"2150037",113,277,5
"2150038",596,865,10
"2150039",132,543,4
"2150040",128,587,4
"2150041",189,798,6
"2150042",379,866,6
"2150043",412,1148,8
"2150044",60,284,0
"2150045",272,447,3
"2150046",36,79,1
"2150047",151,391,2
"2150048",242,837,11
"2150049",270,705,3
"2150050",254,746,6
"2150051",127,911,8
"2150052",807,1320,12
"2150053",702,1691,14
"2150054",337,415,3
"2150055",242,745,8
"2150056",288,818,7
"2150057",77,214,0
"2150058",355,836,4
"2150059",153,554,4
"2150060",314,721,3
"2150061",176,558,8
"2150062",821,904,13
"2150063",69,162,1
"2150064",106,527,5
"2150065",121,263,3
"2150066",146,362,2
"2150067",353,644,7
"2150068",376,830,8
"2150069",343,793,3
"2150070",140,414,1
"2150071A",9,36,2
"2150071B",3,14,1
"2150072",185,400,9
"2150073",742,758,4
"2150074",132,216,1
"2150075",17,17,0
"2150076",12,2,0
"2150077",193,489,3
"2150078",162,632,3
"2150079",95,348,1
"2150080",66,324,3
"2150081",783,1402,11
"2150082",0,3,0
"2150083",819,932,4
"2150084",121,265,0
"2150085",340,932,7
"2150086",114,169,2
"2150087",280,840,9
"2150088",306,1059,8
"2150089",1,4,0
"2150090",287,1579,3
"2150091",107,229,5
"2150092",21,69,0
"2150093",43,43,0
"2150094",188,494,5
"2150095",208,969,4
"2150096",594,833,9
"2150097A",250,624,6
"2150097B",16,41,0
"2150098",393,1033,9
"2150099",367,1253,8
"2150100",265,925,2
"2150101",283,254,4
"2150102",288,253,3
"2150103",635,785,12
"2150104",241,651,6
"2150105",449,948,5
"2150106",931,1555,16
"2150107",342,747,8
"2150108",196,744,6
"2150109",290,950,6
"2150110",92,282,1
"2150111",387,703,4
"2150112",113,490,7
"2150113",546,1048,3
"2150114",840,951,14
"2150115",303,858,4
"2150116",201,474,3
"2150117",250,1068,11
"2150118",247,511,1
"2150119",97,335,1
"2150120",224,655,5
"2150121",22,50,0
"2150122",221,899,3
"2150123",120,299,0
"2150124",293,413,4
"2150125",91,246,2
"2150126",221,457,1
"2150127",76,308,4
"2150128",182,615,2
"2150129",46,40,0
"2150130",190,233,3
"2150131",0,10,0
"2150132",79,260,3
"2150133",11,21,0
"2150134",557,596,6
"2150135",290,468,5
"2150136",311,505,2
"2150137",8,10,0
"2150138",21,125,1
"2150139",51,113,2
"2150140",1,5,0
"2150141",11,31,0
"2150142",3,9,0
"2150143",1,1,0
"2150144",5,6,1
"2150145",81,289,2
"2150146",82,461,1
"2150147",16,30,0
"2150148",7,17,1
"2150149",3,31,0
"2150150",141,280,4
"2150151",27,131,3
"2150152",388,597,2
"2150153",16,93,1
"2150154",263,650,3
"2150155",86,160,0
"2150156",180,593,5
"2150157",130,339,2
"2150158",391,835,11
"2150159",29,117,1
"2150160",65,97,0
"2150161",252,577,3
"2150162",14,29,1
"2150163",17,42,0
"2150164",376,493,3
"2150165",167,192,0
"2150166",85,128,0
"2150167",157,143,1
"2150168",79,116,0
"2150169",77,161,4
"2150170",46,218,0
"2150171",1,11,0
"2150172",8,8,0
"2150173",220,313,2
"2150174",70,280,1
"2150175",150,360,3
"2150176",119,310,1
"2150177A",42,138,1
"2150177B",10,32,1
"2150178",10,6,0
"2150179",29,94,0
"2150180",18,47,0
"2150181",335,167,1
"2150182",43,187,1
"2150183",50,143,0
"2150184",12,5,0
"2150185",0,0,0
"2150186",13,66,1
"2150187",279,670,3
"2150188",395,480,8
"2150189",81,301,4
"2150190",66,108,2
"2150191",61,119,0
"2150192",41,99,0
"2150193",43,108,1
"2150194A",263,397,4
"2150194B",31,46,1
"2150194C",13,20,1
"2150194D",23,34,1
"2150195",207,194,2
"2150196",181,221,3
"2150197",34,186,0
"2150198A",22,61,1
"2150198B",13,39,0
"2150198C",11,33,0
"2150198D",16,46,0
"2150198E",8,21,0
"2150198F",0,0,0
"2150199",487,740,4
"2150200",462,727,5
"2150201",256,345,4
"2150202",239,195,2
"2150203",527,1017,9
"2150204",96,141,2
"2150205",15,58,0
"2150206",144,357,4
"2150207",506,723,6
"2150209",61,178,2
"2150210",29,106,0
"2150211",109,340,8
"2150212",96,98,1
"2150213",20,56,0
"2150215",132,283,1
"2150216",188,516,3
"2150217",13,50,0
"2150218",75,200,2
"2150219",100,279,4
"2150220",82,163,0
"2150221",188,364,3
"2150222",5,2,0
"2150223",89,112,0
"2150224",76,54,1
"2150225",27,86,3
"2150226",7,13,0
"2150227",160,813,5
"2150228",473,1892,20
"2150229",86,254,1
"2150230",110,158,0
"2150231",50,81,3
"2150232",91,294,3
"2150233",0,1,0
"2150234",244,852,4
"2150235",72,71,1
"2150236",155,146,3
"2150237",61,279,2
"2150238",20,26,0
"2150239",324,549,3
"2150240",102,225,1
"2150241",18,78,1
"2150242",7,6,0
"2150243",13,23,0
"2150244",100,187,1
"2150245A",17,58,0
"2150245B",2,10,0
"2150246",0,2,0
"2150247",25,40,0
"2150248",4,10,0
"2150249",54,107,2
"2150250",2,41,0
"2150251",1,5,0
"2150252",4,4,0
"2150253",57,111,0
"2150254",19,34,1
"2150255",36,60,2
"2150256",9,86,0
"2150257",35,177,1
"2170002",386,149,5
"2170003",247,280,5
"2170004",888,339,6
"2170005",249,40,3
"2170006",172,37,0
"2170007",277,57,3
"2170008",110,20,2
"2170009",164,46,1
"2170010",704,245,4
"2170012",360,62,3
"2170013",1164,220,5
"2170014",545,71,3
"2170015",177,31,1
"2170016",151,41,0
"2170018",93,11,1
"2170019",178,30,0
"2170020",457,71,1
"2170021",893,213,3
"2170022",716,170,5
"2170023",195,68,7
"2170024",488,166,2
"2170027",313,76,3
"2190011",347,63,4
"2190014",355,52,3
"2190015",190,23,5
"2190016",913,173,3
"2190021",695,199,4
"2190024",341,53,1
"2190032",552,181,6
"2190033",52,3,1
"2190035",59,24,1
"2190036",72,65,1
"2190043",169,22,2
"2190044",297,102,3
"2190045A",372,129,4
"2190045B",173,61,1
"2190046",257,61,0
"2210001",558,137,2
"2210002",1626,413,17
"2210003",1359,323,14
"2210004",1141,276,10
"2210005",1255,261,13
"2210007",559,110,3
"2210008",1307,316,11
"2210009",2036,460,27
"2210010",2408,549,22
"2210011",834,194,7
"2210012",770,185,6
"2210013",1563,390,17
"2210014",1623,425,13
"2210015",223,48,2
"2210016",2828,633,31
"2230001",924,279,12
"2230002",516,222,2
"2230003",653,255,6
"2230004",614,111,6
"2230005",233,33,5
"2230008",130,27,0
"2230011",335,90,1
"2230012",163,20,1
"2230013",370,89,2
"2230014",458,86,0
"2230016",534,89,3
"2230017",532,129,2
"223001A",750,203,7
"2230020",288,45,2
"2230023",132,22,0
"2230024",363,47,4
"2230025",178,26,2
"223002A",308,286,3
"2230036",441,56,2
"223003A",662,191,4
"223004A",722,239,5
"2250001",385,206,2
"2250002",563,227,3
"2250003",244,405,8
"2250004",711,239,6
"2250005",543,96,1
"2250006",432,149,3
"2250007",491,56,5
"2250008",200,37,0
"2250009",250,18,0
"2250010",149,31,2
"2250011",72,15,1
"2250012",75,14,0
"2250014",231,32,1
"2250015",128,31,1
"2250016",157,9,0
"2250017",173,11,0
"2250018",62,31,1
"2250019",273,77,0
"2250020",131,11,1
"2250021",153,44,1
"2250022",129,33,0
"2270011",241,207,3
"2270012",98,88,1
"2270013",79,66,3
"2270014",33,28,0
"2270016",21,19,0
"2270024",187,39,4
"2270025",523,107,4
"2270026",304,60,0
"2270032",41,12,0
"2270033",537,181,8
"2270034",489,165,4
"2270035",129,43,3
"2270037",0,0,0
"2270042",233,70,0
"2270045",252,85,5
"2270046",276,92,3
"2270103",37,30,0
"2270104",15,10,0
"2270105",0,0,0
"227012A",22,15,0
"2270205",563,115,7
"2270207",457,55,5
"2270208",78,5,0
"2270209",0,0,0
"2270304",181,57,1
"2270404",192,64,4
"2270405",82,20,2
"2270408",24,0,0
"2270409",257,22,2
"227207C",300,38,1
"2290001",177,103,6
"2290002",112,147,5
"2290004",98,60,0
"229003N",58,35,3
"229003S",61,59,3
"2310101",495,79,2
"2310102",559,125,9
"2310103",356,62,4
"2310104",466,98,1
"2310105",232,130,4
"2310106",531,317,5
"2310107",1061,474,20
"2310108",460,287,7
"2310109",564,128,2
"2310210",283,97,5
"2310211",294,79,2
"2310212",431,205,3
"2310213",467,63,2
"2310214",1275,272,10
"2310215",2320,550,17
"2310216",977,239,4
"2310217",756,163,15
"2310318",350,46,5
"2310319",793,136,8
"2310320",840,202,9
"2310321",538,132,8
"2310322",363,89,3
"2310323",1271,251,16
"2310324",976,288,6
"2310325",1266,343,8
"2310426",197,72,3
"2310427",628,718,7
"2310428",601,475,8
"2310429",199,67,1
"2310430",187,95,7
"2310431",189,80,2
"2310432",358,38,2
"2310433",212,624,11
"2310434",620,127,6
"2330011",906,95,4
"2330014",997,152,6
"2330021",1679,145,7
"2330023",145,26,2
"2330031",774,68,6
"2330033",681,82,4
"2330041",39,4,0
"2330042",633,181,6
"2350100",163,24,0
"2350200",150,22,4
"2350300",130,17,2
"2350400",193,33,0
"2370001",504,67,3
"2370002",528,62,3
"2370003",92,11,1
"2370004",428,47,3
"2370005",375,27,7
"2370006",571,82,2
"2390001",744,268,0
"2390002",926,150,6
"2390003",969,177,4
"2390004",161,25,1
"2390005",280,44,1
"2390006",227,70,1
"2390007",59,13,0
"2390008",245,41,1
"2390009",300,44,3
"2410001",24,9,0
"2410002",382,31,0
"2410003",476,94,1
"2410004",365,57,2
"2410005",83,13,0
"2410006",404,184,3
"2410007",203,144,1
"2410008",256,204,0
"2410009",919,109,6
"2410010",808,80,11
"2410011",246,28,0
"2410012",263,50,1
"2410013",228,55,1
"2410014",995,221,4
"2410015",1228,131,6
"2410016",128,7,0
"2410017",695,51,4
"2410019",999,231,3
"2410020",285,303,0
"2410021",517,280,4
"2430001",202,158,14
"2430002",128,103,1
"2430003",177,100,6
"2430004",74,38,5
"2430005",102,67,2
"2450001",68,715,1
"2450002",94,390,1
"2450003",53,804,6
"2450004",592,361,10
"2450005",374,454,5
"2450006",181,440,4
"2450007",296,431,3
"2450008",11,299,1
"2450009",1931,420,9
"2450010",47,207,4
"2450011",36,145,0
"2450012",8,226,0
"2450013",6,171,1
"2450014",31,578,3
"2450015",39,487,0
"2450016",18,146,0
"2450017",588,789,3
"2450018",20,688,2
"2450019",39,583,1
"2450020",45,430,3
"2450021",79,55,0
"2450022",818,1298,5
"2450023",304,940,5
"2450024",223,74,1
"2450025",917,258,5
"2450026",875,614,8
"2450027",345,398,1
"2450028",154,306,1
"2450029",864,113,9
"2450030",600,77,1
"2450031",640,89,5
"2450032",97,36,0
"2450033",749,352,8
"2450034",36,838,4
"2450035",405,76,3
"2450036",653,167,9
"2450037",1037,327,9
"2450038",1061,209,6
"2450039",26,931,4
"2450040",1308,288,10
"2450041",61,25,3
"2450042",1103,273,9
"2450043",945,272,3
"2450044",149,208,2
"2450045",131,342,4
"2450046",131,343,5
"2450047",158,427,5
"2450048",51,295,2
"2450049",27,137,0
"2450050",122,811,9
"2450051",11,138,2
"2450052",6,215,2
"2450053",39,558,2
"2450054",13,206,1
"2450055",6,160,1
"2450056",1492,348,8
"2450057",11,322,0
"2450058",22,13,0
"2450059",16,447,1
"2450060",1272,356,11
"2450061",449,354,7
"2450062",1048,527,12
"2450063",31,617,2
"2450064",88,352,2
"2450065",877,339,4
"2450066",621,189,6
"2450067",115,964,5
"2450068",701,609,9
"2450069",1224,432,14
"2450070",388,624,4
"2450071",40,13,1
"2450072",475,754,4
"2450073",1046,496,10
"2450074",1374,253,10
"2450075",46,344,2
"2450076",50,289,2
"2450077",30,571,3
"2450078",339,645,4
"2450079",756,491,6
"2450080",118,25,0
"2450081",10,324,1
"2450082",388,667,4
"2450083",556,134,4
"2450084",29,548,1
"2450085",84,670,1
"2450086",355,307,3
"2450087",72,461,1
"2450088",164,368,4
"2450089",51,146,1
"2450090",14,18,0
"2450091",364,49,3
"2450092",461,244,3
"2450093",48,258,3
"2450094",918,391,8
"2450095",186,104,4
"2450096",32,173,1
"2450097",0,0,0
"2450098",122,84,2
"2450099",80,226,1
"2450100",977,710,6
"2450101",1,0,0
"2450102",65,21,0
"2450103",17,2,0
"2450104",42,9,0
"2450105",18,55,0
"2450106",9,7,0
"2450107",1,0,0
"2450108",246,38,0
"2450109",96,27,0
"2470001",65,266,3
"2470002",144,266,1
"2470003",112,212,3
"2470004",85,310,1
"2470005",3,6,0
"2490001",58,119,1
"2490002",181,65,3
"2490003",488,151,2
"2490004",232,320,1
"2490005",33,84,1
"2490006",128,298,1
"2490007",671,527,3
"2490008",975,320,7
"2490009",78,151,1
"2490010",179,598,5
"2490011",113,195,3
"2490012",284,492,3
"2490013",38,139,1
"2490014",64,45,0
"2490015",271,352,3
"2490016",69,241,2
"2490017",258,431,6
"2490018",62,94,2
